Request_Number,Connect_Time(s),TLS_Handshake(s),Total_Time(s),Elapsed_Time(s),Status,Success_Count,Bytes_Sent(B),Bytes_Received(B),KEM,Signature,Cert_Size(B)
54,0.131399,1.047586,1.115395,0.3406860828399658,Success,124/500,1282,21308,x25519_mlkem512,dilithium5,14953
45,0.007246,0.035828,0.044887,0.16747069358825684,Success,125/500,1282,21308,x25519_mlkem512,dilithium5,14953
285,0.10782,1.300636,1.359348,1.371851921081543,Success,126/500,1282,21302,x25519_mlkem512,dilithium5,14953
212,0.012508,0.72391,0.800017,1.4322421550750732,Success,127/500,1282,21308,x25519_mlkem512,dilithium5,14953
267,0.140054,0.732945,0.758339,1.4756524562835693,Success,128/500,1282,21308,x25519_mlkem512,dilithium5,14953
194,0.07753,0.899997,1.256282,1.8435940742492676,Success,129/500,1282,21308,x25519_mlkem512,dilithium5,14953
185,0.287599,0.702752,0.71112,1.4384832382202148,Success,130/500,1282,21302,x25519_mlkem512,dilithium5,14953
176,0.111334,1.247192,1.278435,1.4416768550872803,Success,131/500,1282,21308,x25519_mlkem512,dilithium5,14953
336,0.019111,1.242133,1.390674,0.003683805465698242,Success,132/500,1282,21308,x25519_mlkem512,dilithium5,14953
20,0.005872,0.554802,0.562711,0.002458810806274414,Success,133/500,1282,21302,x25519_mlkem512,dilithium5,14953
158,0.535055,1.552784,1.633056,1.843404769897461,Success,134/500,1282,21308,x25519_mlkem512,dilithium5,14953
140,0.281345,0.969601,1.038913,1.5613324642181396,Success,135/500,1282,21302,x25519_mlkem512,dilithium5,14953
130,0.003442,0.539326,0.556752,0.004239082336425781,Success,136/500,1282,21308,x25519_mlkem512,dilithium5,14953
149,0.520048,1.07771,1.322806,1.55078125,Success,137/500,1282,21308,x25519_mlkem512,dilithium5,14953
12,0.005997,0.542977,0.588595,0.01374673843383789,Success,138/500,1282,21308,x25519_mlkem512,dilithium5,14953
343,0.035353,1.107013,1.172377,0.5682086944580078,Success,139/500,1282,21308,x25519_mlkem512,dilithium5,14953
249,0.203015,1.091467,1.189411,0.8695800304412842,Success,140/500,1282,21308,x25519_mlkem512,dilithium5,14953
5,0.005678,0.593132,0.606872,0.0009210109710693359,Success,141/500,1282,21308,x25519_mlkem512,dilithium5,14953
134,0.089289,1.035382,1.083612,1.5597074031829834,Success,142/500,1282,21302,x25519_mlkem512,dilithium5,14953
125,0.003154,0.765893,0.922001,0.32014012336730957,Success,143/500,1282,21308,x25519_mlkem512,dilithium5,14953
18,0.006561,0.566961,0.576706,0.0023889541625976562,Success,144/500,1282,21308,x25519_mlkem512,dilithium5,14953
116,0.086893,1.271864,1.393003,1.559014081954956,Success,145/500,1282,21308,x25519_mlkem512,dilithium5,14953
348,0.363742,1.210299,1.214953,0.263322114944458,Success,146/500,1282,21308,x25519_mlkem512,dilithium5,14953
